"id","category","korean","vietnamese","vietnamesePlain","isEmergency","memo"
"hospital_1","hospitalPharmacy","열이 있어요","Tôi bị sốt.","Toi bi sot.","false",""
"hospital_2","hospitalPharmacy","설사하고 있어요","Tôi đang bị tiêu chảy.","Toi dang bi tieu chay.","false",""
"hospital_3","hospitalPharmacy","배가 아파요","Tôi bị đau bụng.","Toi bi dau bung.","false",""
"hospital_4","hospitalPharmacy","두통이 있어요","Tôi bị đau đầu.","Toi bi dau dau.","false",""
"hospital_5","hospitalPharmacy","약 주세요","Làm ơn cho tôi thuốc.","Lam on cho toi thuoc.","false",""
"hospital_6","hospitalPharmacy","보험 되나요?","Bảo hiểm có áp dụng không?","Bao hiem co ap dung khong?","false",""
"hospital_7","hospitalPharmacy","빨리 진료받고 싶어요","Tôi muốn được khám nhanh.","Toi muon duoc kham nhanh.","false",""
"hospital_8","hospitalPharmacy","알레르기가 있어요","Tôi bị dị ứng.","Toi bi di ung.","false",""
"hospital_9","hospitalPharmacy","이 약을 먹어도 되나요?","Tôi có thể uống thuốc này không?","Toi co the uong thuoc nay khong?","false",""
"hospital_10","hospitalPharmacy","처방전이 필요해요","Tôi cần đơn thuốc.","Toi can don thuoc.","false",""
"hospital_11","hospitalPharmacy","어지러워요","Tôi bị chóng mặt.","Toi bi chong mat.","false",""
"hospital_12","hospitalPharmacy","토할 것 같아요","Tôi cảm thấy buồn nôn.","Toi cam thay buon non.","false",""
"hospital_13","hospitalPharmacy","목이 아파요","Tôi bị đau họng.","Toi bi dau hong.","false",""
"hospital_14","hospitalPharmacy","기침이 나요","Tôi bị ho.","Toi bi ho.","false",""
"hospital_15","hospitalPharmacy","상처를 소독해 주세요","Làm ơn sát trùng vết thương giúp tôi.","Lam on sat trung vet thuong giup toi.","false",""
"hospital_16","hospitalPharmacy","반창고가 필요해요","Tôi cần băng cá nhân.","Toi can bang ca nhan.","false",""
"hospital_17","hospitalPharmacy","진통제가 있나요?","Có thuốc giảm đau không?","Co thuoc giam dau khong?","false",""
"hospital_18","hospitalPharmacy","하루에 몇 번 먹나요?","Mỗi ngày uống mấy lần?","Moi ngay uong may lan?","false",""
"hospital_19","hospitalPharmacy","식후에 먹나요?","Uống sau khi ăn phải không?","Uong sau khi an phai khong?","false",""
"hospital_20","hospitalPharmacy","영수증을 주세요","Làm ơn cho tôi hóa đơn.","Lam on cho toi hoa don.","false",""
"taxi_1","taxiGrab","여기로 가주세요","Làm ơn đưa tôi đến đây.","Lam on dua toi den day.","false",""
